Hisse,Trend,Dip,Volume,Trend100,Dip100,Volume100,AI Score,Sinyal,Trend Durumu,Dip Durumu,Volume Durumu
ALVES,37,79,57,37.0,39.5,57.0,46.47,BEKLE,EARLY_REBOUND,STRONG_DIP,NEUTRAL
SODSN,43,97,35,43.0,48.5,35.0,46.33,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
IHEVA,35,76,60,35.0,38.0,60.0,46.2,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
ENJSA,33,98,35,33.0,49.0,35.0,45.65,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
GLRMK,34,97,33,34.0,48.5,33.0,44.83,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
ECZYT,36,70,60,36.0,35.0,60.0,44.35,BEKLE,EARLY_REBOUND,STRONG_DIP,EARLY_ACCUMULATION
ALBRK,49,73,50,49.0,36.5,50.0,43.62,BEKLE,EARLY_REBOUND,STRONG_DIP,NEUTRAL
KRTEK,36,83,42,36.0,41.5,42.0,43.18,BEKLE,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
ADESE,34,70,55,34.0,35.0,55.0,42.65,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,NEUTRAL
BAYRK,34,97,25,34.0,48.5,25.0,42.43,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
NTGAZ,34,94,28,34.0,47.0,28.0,42.35,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,HEAVY_DISTRIBUTION
GARFA,32,76,47,32.0,38.0,47.0,42.0,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,NEUTRAL
HURGZ,37,87,33,37.0,43.5,33.0,41.88,BEKLE,EARLY_REBOUND,PERFECT_DIP,DISTRIBUTION
BIENY,31,86,35,31.0,43.0,35.0,41.55,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
MHRGY,25,66,57,25.0,33.0,57.0,41.05,BEKLE,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL
ORCAY,23,82,40,23.0,41.0,40.0,40.95,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
BULGS,47,93,20,47.0,46.5,20.0,40.93,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
KZGYO,29,89,30,29.0,44.5,30.0,40.83,BEKLE,BOTTOM_SIDEWAYS,PERFECT_DIP,DISTRIBUTION
IHYAY,22,79,42,22.0,39.5,42.0,40.48,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
AKENR,42,92,20,42.0,46.0,20.0,40.1,BEKLE,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
MZHLD,23,82,37,23.0,41.0,37.0,40.05,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
YIGIT,33,76,40,33.0,38.0,40.0,40.0,BEKLE,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
OZGYO,29,83,33,29.0,41.5,33.0,39.77,ALMA,BOTTOM_SIDEWAYS,STRONG_DIP,DISTRIBUTION
YESIL,30,62,55,30.0,31.0,55.0,39.65,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL
PKENT,41,86,25,41.0,43.0,25.0,39.55,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
BOBET,58,85,20,58.0,42.5,20.0,39.42,ALMA,ACCUMULATION_DIP,PERFECT_DIP,HEAVY_DISTRIBUTION
SELVA,35,76,37,35.0,38.0,37.0,39.3,ALMA,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
TTKOM,35,73,40,35.0,36.5,40.0,39.23,ALMA,EARLY_REBOUND,STRONG_DIP,DISTRIBUTION
ENTRA,34,68,45,34.0,34.0,45.0,39.0,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL
TATGD,42,81,28,42.0,40.5,28.0,38.92,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
GLCVY,39,89,20,39.0,44.5,20.0,38.83,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
ESEN,41,69,40,41.0,34.5,40.0,38.53,ALMA,EARLY_REBOUND,EARLY_RECOVERY,DISTRIBUTION
BRYAT,36,86,23,36.0,43.0,23.0,38.45,ALMA,EARLY_REBOUND,PERFECT_DIP,HEAVY_DISTRIBUTION
GOLTS,28,66,47,28.0,33.0,47.0,38.35,ALMA,BOTTOM_SIDEWAYS,EARLY_RECOVERY,NEUTRAL
DOGUB,40,64,45,40.0,32.0,45.0,38.3,ALMA,EARLY_REBOUND,EARLY_RECOVERY,NEUTRAL
KAREL,19,75,38,19.0,37.5,38.0,37.67,ALMA,HEAVY_DOWN_TREND,STRONG_DIP,DISTRIBUTION
MNDRS,42,81,23,42.0,40.5,23.0,37.42,ALMA,EARLY_REBOUND,STRONG_DIP,HEAVY_DISTRIBUTION
